,genre_ids,movie_id,overview,popularity,poster_path,release_date,title,vote_average,vote_count
522,"[9648, 53, 28]",13027,"Jerry Shaw (Shia LaBeouf) and Rachel Holloman (Michelle Monaghan) are two strangers whose lives are suddenly thrown into turmoil by a mysterious woman they have never met. Threatening their lives and family, the unseen caller uses everyday technology to control their actions and push them into increasing danger. As events escalate, Jerry and Rachel become the country's most-wanted fugitives and must figure out what is happening to them.",2.581492,/ej1yxLuhME7PJyGsXJjEMcQGI37.jpg,2008-09-25,Eagle Eye,6.2,838
523,"[80, 9648, 53]",13942,"Based on the true story of double killings occurring in Rochester, NY during the 80’s and the troubled police officer determined to solve them, with or without the help of her department",2.060893,/no6QlDlrWLKUO68qqe1ixl80PTo.jpg,2008-11-07,The Alphabet Killer,5.1,38
524,"[27, 53, 9648]",13515,An ex-cop and his family are the target of an evil force that is using mirrors as a gateway into their home.,1.942906,/h0Lf0PoLqvcDDpWhvCpiLGSREmp.jpg,2008-08-15,Mirrors,5.9,360
525,"[18, 9648]",14359,"In 1964, a Catholic school nun questions a priest's ambiguous relationship with a troubled young student, suspecting him of abuse. He denies the charges, and much of the film's quick-fire dialogue tackles themes of religion, morality, and authority.",1.893555,/eoxF1LlYvJeVJcEmptfV8PLtpBK.jpg,2008-11-27,Doubt,7.0,320
526,"[53, 80, 9648]",6687,A Trans-Siberian train journey from China to Moscow becomes a thrilling chase of deception and murder when an American couple encounters a mysterious pair of fellow travelers.,1.781679,/izYDkKxj9sI8KNKK0PR54dpuiFu.jpg,2008-01-18,Transsiberian,6.5,150
527,"[27, 9648, 53]",9022,"Beautiful Mandy Lane isn't a party girl but, when classmate Chloe invites the Texas high school student to a bash in the countryside, she reluctantly accepts. After hitching a ride with a vaguely scary older man, the teens arrive at their destination. Partying ensues, and Mandy's close pal, Emmet, keeps a watchful eye on the young males making a play for Mandy. Then two of the students are murdered.",1.772285,/2ENAfp2NhaeXSPNB4makF0In4YY.jpg,2008-02-15,All the Boys Love Mandy Lane,5.6,175
528,"[35, 80, 9648, 53]",18176,"After the theft of copies of SAT exams from a principal's office, teenage reporter Bobby Funke sets out to unmask the thief. Bobby prints an article fingering Class President Paul Moore as the thief, shredding the youth's reputation. But as Bobby gets to know Paul's girlfriend, Francesca, he comes to realize he was wrong about Paul, so he sets out to unmask the true culprit.",1.749709,/9e1SZqHtyNsJzkrxOgmq8GyEjCN.jpg,2008-01-17,Assassination of a High School President,6.1,81
529,"[14, 28, 53, 878, 9648]",20329,"""The human whose name is written in the Death Note shall die."" After making the hardest decision ever, another serious case confronts L. There are only 23 days left and without his best partner Watari (Shunji Fujimura), L has to solve the case all by himself for the very first time.",1.739549,/ndgSMCX4QmfcEX66bS37EiLcUlj.jpg,2008-01-31,Death Note - L: Change the WorLd,5.9,54
530,"[18, 53, 80, 9648]",13018,"As a corporate auditor who works in a number of different offices, Jonathan McQuarry wanders without an anchor among New York's power brokers. A chance meeting with charismatic lawyer Wyatt Bose leads to Jonathan's introduction to The List, an underground sex club. Jonathan begins an affair with a woman known only as S, who introduces Jonathan to a world of treachery and murder.",1.604968,/mpRwbg5yZFdyeYCZ0eaEpKnhDsG.jpg,2008-04-24,Deception,5.7,156
531,"[18, 9648, 53, 10749]",13944,"After a plane crash, a young therapist, Claire, is assigned by her mentor to counsel the flight's five survivors. When they share their recollections of the incident -- which some say include an explosion that the airline claims never happened -- Claire is intrigued by Eric, the most secretive of the passengers",1.544687,/fGI0FFre8W454JqHgexV6zDWC9H.jpg,2008-09-26,Passengers,5.7,161
532,"[9648, 18, 80, 53, 27]",10185,"The photographer Leon lives with his girlfriend and waitress Maya waiting for a chance to get in the photo business. When Maya contacts their friend Jurgis, he schedules a meeting for Leon with the successful owner of arts gallery Susan Hoff; she analyzes Leon's work and asks him to improve the quality of his photos. During the night, the upset Leon decides to wander on the streets taking pictures with his camera, and he follows three punks down to the subway station; when the gang attacks a young woman, Leon defends her and the guys move on. On the next morning, Leon discovers that the woman is missing. He goes to the police station, but Detective Lynn Hadley does not give much attention to him and discredits his statement. Leon becomes obsessed to find what happened with the stranger and he watches the subway station. When he sees the elegant butcher Mahogany in the train, Leon believes he might be a murderer and stalks him everywhere, in the beginning of his journey to the darkness.",1.536513,/lZlHNrtrs8GuQu89tfsMIEGG9WF.jpg,2008-08-07,The Midnight Meat Train,6.1,233
533,"[18, 27, 9648, 53]",15440,"Jannicke wakes up in the hospital. All of her friends are dead. As she walks through the dark corridors, she thinks she is left alone. But the nightmare isn't over yet.",1.522404,/rGuEy5XlwABHQQ2PxyW6fsbHqvz.jpg,2008-10-09,Cold Prey II,6.1,41
534,"[27, 9648, 53]",6933,"Several people start receiving voice-mails from their future selves -- messages which include the date, time, and some of the details of their deaths.",1.50955,/qdGRVppdGVzV0P8fa8c9Aeae3J6.jpg,2008-01-04,One Missed Call,4.6,141
535,"[80, 9648, 53]",12245,"At Oxford University, a professor and a grad student work together to try and stop a potential series of murders seemingly linked by mathematical symbols",1.507677,/6RXkLDMnKXhPfxanHDFffJh575B.jpg,2008-01-18,The Oxford Murders,5.7,143
536,"[18, 9648, 878, 53]",8338,"When a sudden plague of blindness devastates a city, a small group of the afflicted band together to triumphantly overcome the horrific conditions of their imposed quarantine.",1.48629,/AqWG6z1P2CBrRkgEqMKoNsqC0em.jpg,2008-05-14,Blindness,6.3,298
537,"[27, 9648, 53]",10885,"A newly married couple discovers disturbing, ghostly images in photographs they develop after a tragic accident. Fearing the manifestations may be connected, they investigate and learn that some mysteries are better left unsolved.",1.477378,/sfJpyVioSAUTQgHk86WJja2bxM4.jpg,2008-03-21,Shutter,5.3,139
538,"[53, 27, 9648]",10665,"After returning from a wedding reception, a couple staying in an isolated vacation house receive a knock on the door in the mid-hours of the night. What ensues is a violent invasion by three strangers, their faces hidden behind masks. The couple find themselves in a violent struggle, in which they go beyond what either of them thought capable in order to survive.",1.46254,/pZwTosOfiB9hGvXvPg9fpoOqKmp.jpg,2008-05-29,The Strangers,5.9,382
539,"[12, 28, 53, 80]",10764,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",6.645236,/6mlNx0Jiqhg3D7NlANT9pidsgPJ.jpg,2008-10-30,Quantum of Solace,6.1,2493
540,"[28, 878, 12]",1726,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",6.523529,/s2IG9qXfhJYxIttKyroYFBsHwzQ.jpg,2008-04-30,Iron Man,7.3,7114
541,"[12, 14, 18, 10749]",8966,"When Bella Swan moves to a small town in the Pacific Northwest to live with her father, she starts school and meets the reclusive Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire. Despite Edward's repeated cautions, Bella can't help but fall in love with him, a fatal move that endangers her own life when a coven of bloodsuckers try to challenge the Cullen clan.",6.257588,/nlvPMLCdum7bkHKmDSMnNLGztmW.jpg,2008-11-20,Twilight,5.7,2478
542,"[12, 28]",217,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",4.82363,/qY1x6v5daMDTr904G3y84WVgpfC.jpg,2008-05-21,Indiana Jones and the Kingdom of the Crystal Skull,5.7,1935
543,"[878, 28, 12]",1724,"Scientist Bruce Banner scours the planet for an antidote to the unbridled force of rage within him: the Hulk. But when the military masterminds who dream of exploiting his powers force him back to civilization, he finds himself coming face to face with a new, deadly foe.",4.75171,/qTghl3lO8PhmIxkf8eN5WQQefHI.jpg,2008-06-12,The Incredible Hulk,6.1,2312
