,genre_ids,movie_id,overview,popularity,poster_path,release_date,title,vote_average,vote_count
898,"[27, 878]",265016,"Five friends set out to a cabin in the woods for a fun weekend getaway that is, until extraterrestrial visitors turn it into a fight for their lives. The group is pulled from their reverie when a flickering object crashes deep in the woods. As they investigate, the friends stumble across an alien spacecraft, and its inhabitants have not arrived in peace.",1.79783,/9RHJFmZK2xhfd82SYajsKIpeYGL.jpg,2014-10-17,Extraterrestrial,4.7,150
899,[18],24183,"In this acclaimed and gripping social portrait of immoral lives in need of rescue, Igor (Jérémie Renier), aged 15, and his father Roger (Olivier Gourmet) deal in housing and peddling illicit labor in the outlying districts of Liege, Belgium. Scams, lies and swindling rule their lives. When one of his father’s illegal workers gets injured on the job and asks Igor to promise to take care of his wife and baby, Igor finds himself at a crossroad. He wants to keep the promise, but the price would be to betray his father.",1.7978,/5MFHoojt2UIKHlGrzdruRzUp0to.jpg,1996-09-07,La Promesse,6.5,30
900,"[18, 35, 10749]",12225,"After a painful breakup, Ben develops insomnia. To kill time, he starts working the late night shift at the local supermarket, where his artistic imagination runs wild.",2.229065,/rXzlyFeZkpwFMd8lCrOHpjfM4VL.jpg,2006-09-10,Cashback,6.7,305
901,"[18, 27, 878]",14212,"The world has been reshaped by the invasion of ghosts via the wireless internet. Cities are deserted, technology has been destroyed and the few remaining human beings eschew anything electrical in order to avoid a confrontation with the soulless ghosts that now wander the planet. Most of the ghosts are doomed to a repetitive loop of something they did while they were still despairing humans (a man repeatedly hangs himself, for example), but there are some ghosts so locked in denial, they do not know they are dead. They continue to haunt their homes, wrapped in fear that their souls will soon be torn from them.",2.228906,/k3kHpC6v7m3jZruxERaeKuhwIiW.jpg,2008-09-30,Pulse 2: Afterlife,4.4,22
902,"[35, 10749]",10218,"This is a story about Mike, a guy who left his girl in New York when he came to LA to be a star. It's been six months since his girlfriend left him and he's not doing so good. So, his pal and some other friends try and get him back in the social scene and forget about his 6 year relationship.",2.228636,/h1nLEgXCNK6sQgup22SYgNTrwJm.jpg,1996-10-18,Swingers,6.9,210
903,"[53, 18]",243526,"Claire is under the grip of a mysterious new cult called Faults. Desperate to be reunited with their daughter, Claire's parents recruit one of the world's foremost experts on mind control, Ansel Roth.",2.22862,/xOyvFMFoi0i0l1a0vuY1rUqnvSd.jpg,2014-03-06,Faults,6.8,62
904,[53],180948,"A parolee (Paul Walker) becomes the target of a massive police manhunt after inadvertently picking up a rental car with a female whistleblower tied up in the trunk. Now, as the police attempt to silence the woman before she can testify about the city's rampant corruption, the ex-con who just regained his freedom must defend her life, and clear his own name.",2.228565,/8rh9jEiPmWDcLMPDA3DkUt8JSqG.jpg,2013-03-07,Vehicle 19,5.0,205
905,"[18, 36, 10752]",5902,Tells the story of operation Market Garden. A failed attempt by the allies in the latter stages of WWII to end the war quickly by securing three bridges in Holland allowing access over the Rhine into Germany. A combination of poor allied intelligence and the presence of two crack German panzer divisions meant that the final part of this operation (the bridge in Arnhem over the Rhine) was doomed to failure.,2.228557,/ormdFwSHGVgsWdrzP5pRPaA6nme.jpg,1977-06-15,A Bridge Too Far,6.9,165
906,"[14, 878, 12]",902,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",2.228524,/eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg,1995-05-16,The City of Lost Children,7.7,256
907,"[12, 27, 878]",35073,"The Beast from 20,000 Fathoms is a 1953 science fiction film directed by Eugène Lourié and stars Paul Christian, Paula Raymond and Cecil Kellaway with visual effects by Ray Harryhausen. The film is about an atomic bomb test in the Arctic Circle that unfreezes a hibernating fictional dinosaur, a Rhedosaurus, that begins to wreak havoc in New York City.",2.228415,/rOGrbGgZxh1cuixii6J8h4S24Cf.jpg,1953-06-13,"The Beast from 20,000 Fathoms",6.7,38
908,"[16, 35, 10751]",8920,"Garfield, the fat, lazy, lasagna lover, has everything a cat could want. But when Jon, in an effort to impress the Liz - the vet and an old high-school crush - adopts a dog named Odie and brings him home, Garfield gets the one thing he doesn't want. Competition.",2.228056,/v6xvth8PjDG350ARG9H2sF7N3SF.jpg,2004-06-10,Garfield,5.2,572
909,"[18, 53, 80]",95516,"While working undercover as a bodyguard to arms dealer Harry, former-soldier-turned-secret-service-agent Ewan survives a bloody shootout with a member of an Islamic terrorist cell who steals Harry's briefcase full of Semtex explosives and escapes. Ewan's spymasters task Ewan with hunting down the cell members and retrieving the briefcase.",2.228012,/5WG0QSJ547bdyZhYe9bRTYvBLIn.jpg,2012-03-08,Cleanskin,5.5,96
910,"[12, 28, 27, 878]",9457,"A group of heavily armed hijackers board a luxury ocean liner in the South Pacific Ocean to loot it, only to do battle with a series of large-sized, tentacled, man-eating sea creatures who have taken over the ship first.",2.2278,/hJ1Zhz6MMAHgeSlf7UBCHZKm0QM.jpg,1998-01-30,Deep Rising,5.9,121
911,"[18, 27, 9648, 53]",2655,"When Claire Spencer starts hearing ghostly voices and seeing spooky images, she wonders if an otherworldly spirit is trying to contact her. All the while, her husband tries to reassure her by telling her it's all in her head. But as Claire investigates, she discovers that the man she loves might know more than he's letting on.",2.227768,/A1mrfm8LEv7L28q50ld8QI5z9Iu.jpg,2000-07-21,What Lies Beneath,6.3,370
912,"[35, 18]",10158,"Billy Hoyle (Woody Harrelson) and Sidney Deane (Wesley Snipes) are an unlikely pair of basketball hustlers. They team up to con their way across the courts of Los Angeles, playing a game that's fast dangerous - and funny.",2.227637,/hWIdbFkjXTGrq8K9NFFAxvka7Bd.jpg,1992-03-26,White Men Can't Jump,6.2,229
913,"[28, 878]",8202,"400 years into the future, disease has wiped out the majority of the world's population, except one walled city, Bregna, ruled by a congress of scientists. When Æon Flux, the top operative in the underground 'Monican' rebellion, is sent on a mission to kill a government leader, she uncovers a world of secrets.",2.227206,/3rKw2QInyaACZ6wnqSg4nAXgKal.jpg,2005-11-30,Æon Flux,5.4,557
914,"[28, 12, 80, 18, 53]",13389,"Two veteran New York City detectives work to identify the possible connection between a recent murder and a case they believe they solved years ago; is there a serial killer on the loose, and did they perhaps put the wrong person behind bars?",2.226894,/nCHeJKaes2k8XNsvRmzTTkXDZzY.jpg,2008-09-11,Righteous Kill,5.8,295
915,"[35, 80, 9648]",3529,"After a four year absence, one time detective Nick Charles returns to New York with his new wife Nora and their dog, Asta. Nick re-connects with many of his old cronies, several of whom are eccentric characters, to say the least. He's also approached by Dorothy Wynant whose inventor father Clyde Wynant is suspected of murdering her step-mother. Her father had left on a planned trip some months before and she has had no contact with him. Nick isn't all that keen on resuming his former profession but egged-on by wife Nora, who thinks this all very exciting, he agrees to help out. He solves the case, announcing the identity of the killer at a dinner party for all of the suspects.",2.226883,/rEXmQIgG8aHiZZbYAPdJjZNUxa.jpg,1934-05-25,The Thin Man,7.3,82
916,"[28, 53, 80]",51497,"Former cop Brian O'Conner partners with ex-con Dom Toretto on the opposite side of the law. Since Brian and Mia Toretto broke Dom out of custody, they've blown across many borders to elude authorities. Now backed into a corner in Rio de Janeiro, they must pull one last job in order to gain their freedom.",2.226851,/cA81CI8odKv5KHRUUzJbj83yN7c.jpg,2011-04-20,Fast Five,7.1,1903
917,"[80, 18, 53]",11892,"Tenacious homicide detective Cassie Mayweather and her still-green partner are working a murder case, attempting to profile two malevolently brilliant young men: cold, calculating killers whose dark secrets might explain their crimes.",2.226578,/zL2aUMe2haBikOZSxmndSDD4qi.jpg,2002-04-19,Murder by Numbers,6.0,205
918,"[53, 9648]",29917,The final candidates for a highly desirable corporate job are locked together in an exam room and given a test so simple and confusing that tension begins to unravel.,2.225868,/2MLOMNKejfX3L1PVB2ZdxYOmf3A.jpg,2009-06-19,Exam,6.6,366
919,"[35, 18]",13973,A sex-addicted con-man pays for his mother's hospital bills by playing on the sympathies of those who rescue him from choking to death.,2.225485,/lltyV3NNtzm4jaI5SfOYYsrr2Cz.jpg,2008-09-26,Choke,6.2,99
920,[53],17081,"FBI hostage rescue team leader Jack Bender has been sacked for not being a team player, and months later he finds himself in the ultimate hostage nightmare: stuck aboard a plane that's been taken over by a group of well-armed terrorists who threaten to detonate a nuclear weapon unless they receive a billion dollars",1.385568,/9GqXSNq45pC7vR35o2aNgtt7QXM.jpg,2008-05-24,Final Approach,3.0,3
921,"[18, 10749]",25147,"In late 19th-century England, Jude aspires to be an academic, but is hobbled by his blue-collar background. Instead, he works as a stonemason and is trapped in an unloving marriage to a farmer's daughter named Arabella. But when his wife leaves him, Jude sees an opportunity to improve himself. He moves to the city and begins an affair with his married cousin, Sue, courting tragedy every step of the way.",1.385548,/2OA9M8KribkctpSRDAlPu6yWOx8.jpg,1996-02-06,Jude,6.6,31
922,"[18, 53]",18273,"Sick of her life, housewife Nancy just wants it to be over and done with, but rather than kill herself, she hires a stranger from the Internet to do the job for her. But fate takes a strange turn when she meets her killer and the two fall in love. Of course, Nancy realizes that love and murder do not naturally go hand in hand.",1.385548,/whdUfaM1rzbgiCm8hy8Cvvmysiz.jpg,2008-01-21,Downloading Nancy,5.2,17
